;question;gpt4o;claude3;llama-3;final_answer
38;Describe the morphology of a togavirus.;A;A; A;A
39;A good surveillance system should provide information about:;D;D; D;D
40;What has so far prevented polio being eradicated from the world?;A;A; A;A
41;The range of disease caused by the family is wide but identify the exception from the following:;D;D; D;D
42;Which of the following drugs inhibit herpes viruses?;B;B; B;B
43;The three countries with the most drug injectors are:;B;B; B;B
44;Officials at a large community hospital report an increased incidence of acute lymphocytic leukemia (ALL) among children aged 5 – 12. They point out that some households in the community are exposed to chemical waste from a nearby factory. They believe that chemical waste causes leukemia. If a study is designed to evaluate the hospital officials’ claim, which of the following subjects are most likely to comprise the control group?;B;B; B;B
45;Lassa and Ebola are emergent viruses in W. Africa. What is their origin?;C;C; C;C
46;Antivirals can be used prophylactically or therapeutically in persons in which of the following circumstances?;B;B; B;B
47;Papillomaviruses cause warts and cancer but how do they most often infect humans?;C;C; C;C
48;There are 57 serotypes of adenovirus currently recognised. Which has the most important clinical impact?;C;C; C;C
49;How are new polyomaviruses detailed;C;C; C;C
50;Describe the YF vaccine.;B;B; B;B
51;What is the biggest risk factor for infection with Ebola?;C;C; C;C
52;"The influenza virus is mainly controlled in special ""risk"" sectors by:";B;B; B;B
53;A case-control study is conducted to assess the association between alcohol consumption and lung cancer patients with lung cancer and 100 controls are asked about their past alcohol consumption. According to the study results, alcohol consumption is strongly associated with lung cancer (OR = 2.5). The researchers then divide the study subjects into two groups: smokers and non-smokers. Subsequent statistical analysis does not reveal any association between alcohol consumption and lung cancer within either group. The scenario described is an example of which of the following?;B;B; B;B
54;How are arenaviruses spread?;C;C; C;C
55;Which areas of the world are rabies free?;D;D; D;D
56;The risk of perinatal transmission of HIV-1 infection during breast feeding is increased due to:;C;C; C;C
57;How is the parvovirus family targeted to reduce disease?;B;A; A;A
58;Who discovered the first virus?;C;C; C;C
59;Structural interventions typically target:;D;D; D;D
60;What is the main clinical picture of hepatitis A?;C;C; C;C
61;If the human norovirus cannot be cultured in cell cultures how can it best be studied?;B;B; B;B
62;Any systematic error in the design, conduct, or analysis of a study that results in a mistaken estimate of an exposure’s effect on the risk of disease is called:;B;B; B;B
63;Describe the coronavirus structure.;A;A; A;A
64;SARS is described as a zoonotic virus - what does this mean?;C;C; C;C
65;Which of the following coronaviruses has caused thousands of deaths around the world as an 'emergent' virus?;B;B; B;B
66;Clinical infection by an arenavirus is characterised by which one of the following?;A;D; A;A
67;How does rubella cause foetal abnormalities?;A;A; A;A
68;Which of the following is an unusual feature of the replication cycle in coronaviruses?;A;A; A;A
69;Which replication strategy is paralleled by some other viruses?;A;A; A;A
70;The characteristic of a generalized epidemic is:;C;C; C;C
71;An updated version of classification shows the parvovirus family as having how many genera?;A;A; A;A
72;The largest Latino community in the U.S. is:;B;B; B;B
73;How can epidemics of astrovirus mainly be controlled?;C;C; C;C
74;500 women aged 40 – 54 who present for routine check-ups are asked about their meat consumption the women turn out to be vegetarian. During the ensuing 5 years, 5 vegetarians and 43 non-vegetarians develop colorectal cancer. Which of the following best describes the study design?;B;B; B;B
75;In the absence of treatment the risk of HIV transmission from an infected mother to her fetus/infant was highest in which of the following areas?;A;A; A;A
76;Poliovirus can most easily become more virulent by which of the following processes?;A;A; A;A
77;A virus such as influenza which emerges suddenly and spreads globally is called:;C;C; C;C
78;Of the following factors, which are the most important factors for virus spread and infection?;D;C; A;3 different Answers
79;How do viruses of the calcivirus family replicate?;B;B; B;B
80;"The parvoviruses have a rather unique genome; what form does it take?";B;B; B;B
81;How can the morphology of filoviruses be described?;B;B; B;B
82;What is the usual direction of 'knowledge' in a cell?;C;C; C;C
83;Why are drug combinations essential for HIV?;B;B; B;B
84;Many virus infections result in immune pathology, this is caused predominantly by which of the following?;A;A; A;A
85;David Baltimore is a molecular biologist. What did he discover?;C;C; C;C
86;Identify the most commonly used diagnostic technique in the virus laboratory:;C;A; C;C
87;The major risk group for HIV infection among Latinos is:;B;B; B;B
88;In HIV-associated tuberculosis cases, treatment with antiretrovirals should begin:;C;B; C;C
89;A “benefit” of research may accrue:;D;D; D;D
90;What is the current best option for preventing future outbreaks of Ebola?;C;C; A;C
91;Where are arenaviruses predominately located in the world?;C;C; C;C
92;The most important element of ethical research on human subjects is:;D;D; D;D
93;The characteristic of injecting drug users in Asia is/are:;D;D; D;D
94;Viruses have encouraged us to change our world, as we have now:;A;A; D;A
95;What is the most important factor for virus classification?;D;D; D;D
96;The major issue for HIV infection among the Latino population is:;D;D; D;D
97;Disease can most often be prevented by which of the following:;A;A; A;A
98;Results of surveillance should be distributed to:;D;D; D;D
99;Which is a major characteristic of the bunyavirus family?;A;A; C;A
100;The group that permits analysis of the entire natural history of HIV/AIDS is:;C;C; C;C
101;The chance of acquiring HIV infection from factor VIII in the United States in 2011 is 0% primarily because:;C;B; B;B
102;The prevalence of HIV among Latino-Americans compared to other ethic groups in the U.S. is:;B;B; B;B
103;What is the rubella syndrome?;B;B; B;B
104;What is the most common way for a virus to kill a cell?;B;B; B;B
105;The influenza virus has complicated genetics mainly characterised by which of the following?;A;A; A;A
106;The highest risk of HIV infection among drug users in the U.S. is in:;A;A; A;A
107;A study is conducted to assess the relationship between race and end-stage renal disease pathologists independently study specimens from 1,000 kidney biopsies. The first group of pathologists is aware of the race of the patient from whom the biopsy came, while the second group is blinded as to the patient’s race. The first group reports ‘hypertensive nephropathy’ much more frequently for black patients than the second group. Which of the following types of bias is most likely present in this study?;A;C; C;C
108;What is urban yellow fever (YF)?;A;A; A;A
109;The current testing policy of the Centers for Disease Control and the World Health Organization is:;B;B; B;B
110;Common cold viruses are ubiquitous and invade by which route?;B;B; B;B
111;Assembly is a vital late replication stage for a virus and is often accomplished by which of the following?;C;C; C;C
112;The biggest single determinant of HIV transmission to the infant is:;B;B; B;B
113;What does the reproductive number of a virus tell us?;C;C; C;C
114;PreP is most effective for which group:;A;A; A;A
115;A special feature of adaptive immunity is:;B;B; B;B
116;As regards the range of diseases caused by viruses:;B;B; B;B
117;Which is the exception in the following range of disease symptoms caused by bunyaviruses?;A;C; C;C
118;There is no vaccine against HIV because of which of the following?;A;A; A;A
119;The requirements for an effective surveillance system include:;D;D; D;D
120;MERS has four special characteristics and here we have one exception - which is it?;A;A; A;A
121;The major beneficiary of Medicaid in the U.S. is:;C;C; C;C
122;Which of the following is the most important for controlling disease caused by norovirus?;B;B; B;B
123;Why do vigorous CD8 cell responses in chronically infected HIV-positive individuals fail to eliminate the virus?;A;B; B;B
124;"The most widespread and important retrovirus is HIV-1; which of the following is true?";C;C; C;C
125;The first acquired immune cell to respond defensively to HIV infection is:;A;D; D;D
126;Which of the following is a special feature of the rabies vaccine?;D;D; D;D
127;Most viral vaccines are produced by which of the following techniques?;A;A; A;A
128;The treatment of hepatitis C has been revolutionised most recently by which of the following?;D;D; D;D
129;Chikungunya has spread widely from Asia and Africa into the Caribbean in recent years. This has been mainly facilitated by:;B;A; A;A
130;The successful anti-cancer HPV vaccine consists of:;C;C; C;C
131;The rotavirus is an important cause of which of the following?;B;B; B;B
132;The surveillance testing strategy associated with the least selection bias is:;B;B; A;B
133;In a medical class of 147 students, the distribution of scores on a biochemistry final examination has a mean equal to 67, a median equal to 76, a mode equal to 80, a standard deviation equal to 5.5, and a variance equal to 30.25. Three students were unable to take the test on the scheduled date and were given a different form of the exam 1 week later. Which parameter is most likely to be the least biased estimator of central tendency for this distribution of biochemistry test scores?;B;B; B;B
134;What disease do herpes viruses not cause?;A;A; A;A
135;The purpose of a double-blind or double-masked study is to:;C;C; C;C
136;"Nipah is a zoonotic paramyxovirus; where did it originate?";B;B; B;B
137;What is the genome structure of the polyomavirus family?;A;A; A;A
138;Interferons are very special defence mechanisms which operate by:;B;B; B;B
139;Genetic characteristics of the bunyavirus family include which one of the following?;A;A; A;A
140;The basic code of ethical research (respect for persons, beneficence, and justice) was first established by the:;D;D; D;D
141;The paramyxovirus family employ what strategy at virus entry?;A;A; A;A
142;The risk of acquiring HIV from a unit of blood in the United States is now:;D;D; D;D
143;What is the essential pathology of astroviruses?;A;A; A;A
144;Which of the following are goals of vaccination?;D;D; D;D
145;Randomization of study subjects in a clinical trial is most helpful for controlling for which of the following?;A;B; D;3 different Answers
146;A quasi species virus such as influenza and HIV has which of the following characteristics?;B;B; B;B
147;Positive stranded RNA viruses have which of the following characteristics?;A;A; A;A
148;What is the genetic structure of rotavirus?;D;D; D;D
149;Are/were viruses:;A;A; A;A
150;It is unlikely that a 'cure' of HIV is possible with current drugs because:;A;C; C;C
151;Which viruses appear to be hypermutable?;D;D; D;D
152;How are herpes infections controlled?;A;A; A;A
153;"A new drug with in vitro activity against HIV is tested on a population of patients with Western-blot confirmed HIV infections. Out of the 200 individuals in the patient population, 100 are chosen by lottery to receive the drug. The drug, which is tasteless, is administered in a cup of orange juice; the other patients receive pure orange juice. Neither the nurses, doctors, nor the patients know which patients receive the drug. At the end of the study period, the number of CD4+ T cells is determined for all of the subjects. This is an example of a";C;C; C;C
154;What is the most successful and most widely used 'travel' vaccine for international visitors?;C;C; C;C
155;What is a virus pandemic?;C;C; C;C
156;Benefits of opioid replacement therapy as an approach for HIV prevention include:;D;D; D;D
157;Papilloma viruses are characterised by what genetic feature?;A;A; A;A
158;"As part of the Women’s Health Study, researchers investigated the role of systemic inflammation in predicting cardiovascular disease in women (N Engl J Med. 2002;347[20]:1557-1565). Researchers used a prospective study design with a large sample size. Blood levels of C-reactive protein (CRP) were measured at baseline and women were followed for an average of 8 years. The following table shows the relative risk estimates of cardiovascular event (heart attack or stroke) within 5 years by quintile of CRP level for the 30,000 women. The first quintile is used as the reference category.  1 0.49 mg/dL Relative Risk Number of women  1.0 6000  2 >0.49-1.08 mg/dL 1.8 6000  Quintile of CRP Level 3 >1.08-2.09 mg/dL 2.3 6000  4 >2.09-4.19 mg/dL 3.2 6000  5 >4.19 mg/dL 4.5 6000  Based on the relative risk data above, one can conclude:";C;C; C;C
159;What is the morphology of the Dane particle?;A;A; A;A
160;The adenovirus virion has which unique structural feature?;B;B; B;B
161;A city has a population of 250,000 cases and 400 deaths each year from this disease. There are 2,500 deaths per year from all causes. The prevalence of this disease is given by;C;C; C;C
162;Which unique form does the rabies virus take?;B;B; B;B
163;Which of the following diseases is not caused by togaviruses?;D;D; B;D
164;Why are the viruses of this family called astroviruses?;B;B; B;B
165;Why do emerging viruses like Zika and Ebola continue to plague us?;B;B; B;B
