,question,gemini_pro,gemini_flash,gpt40613,mixtral,palm2,palmyra,gpt4o,gpt4turbo,llama,claude,final_answer
34,"Suppose A and B are n x n invertible matrices, where n > 1, and I is the n x n identity matrix. If A and B are similar matrices, which of the following statements must be true?	I. A - 2I and B - 2I are similar matrices. II. A and B have the same trace.	 III. A^-1 and B^-1 are similar matrices.",D,D,D, D,D,D,D,D, D,D,D
35,"Let C be the circle in the yz-plane whose equation is (y - 3)^2 + z^2 = 1. If C is revolved around the z-axis, the surface generated is a torus. What is the equation of this torus?",C,C,B, D,D,D,C,C, C,D,C
36,Which of the following is an equation of the line tangent to the graph of y = x + e^x at x = 0 ?,A,A,A, A,A,A,D,To, D,D,A
37,"Let V be the real vector space of all real 2 x 3 matrices, and let W be the real vector space of all real 4 x 1 column vectors. If T is a linear transformation from V onto W, what is the dimension of the subspace kernel of T?",D,B,D, C,A,A,D,To, B,A,D and A
38,Statement 1 |  Suppose ∑|a_i| diverges and ∑ a_i = 2. There is a rearrangement a_i_k of the terms such that ∑ a_i_k = 4. Statement 2 | There exists metric spaces X and Y with X closed and bounded and a continuous mapping f : X → Y such that f(X) is NOT “closed and bounded”.,C,C,C, A,C,C,A,Let, A,C,C
39,The maximum number of acute angles in a convex 10-gon in the Euclidean plane is,C,D,D, D,D,D,C,To, C,D,D
40,"If f(z) is an analytic function that maps the entire finite complex plane into the real axis, then the imaginary axis must be mapped onto",B,B,B, B,B,B,B,B, B,B,B
41,"A group G in which (ab)^2 = a^2b^2 for all a, b in G is necessarily",D,D,D, D,D,D,D,D, D,D,D
42,"If f is a continuously differentiable real-valued function defined on the open interval (-1, 4) such that f(3) = 5 and f'(x) ≥ -1 for all x, what is the greatest possible value of f(0)?",D,D,D, D,D,D,B,To, D,D,D
43,"Suppose A and B are n × n matrices with real entries. Which of the follow are TRUE?
I. The trace of A^2 is nonnegative.
II. If A^2 = A, then the trace of A is nonnegative.
III. The trace of AB is the product of the traces of A and B.",A,A,A, A,C,C,C,A, C,C,A and C
44,What is the units digit in the standard decimal expansion of the number 7^25?,C,D,D, B,A,A,B,To, C,D,D
45,"Statement 1 | f : X → Y is continuous and X is compact. f must be uniformly continuous. Statement 2 | If f(x), g(x) : R → R are everywhere differentiable f(g(x)) must be everywhere differentiable.",B,B,B, B,B,B,B,A, C,B,B
46,The region bounded by the curves y = x and y = x^2 in the first quadrant of the xy-plane is rotated about the y-axis. The volume of the resulting solid of revolution is,A,C,A, C,C,C,B,To, B,B,C
47,"In the xy-plane, the curve with parametric equations x = cos t and y = sin t, 0 <= t <= pi, has length",B,B,B, B,B,B,B,B, B,B,B
48,"Which of the following are valid intervals of convergence for a power series?
(I) [−1, 3)
(II) (−∞, 0]
(III) [2, 2] ∪ [3, 3]
(IV) (−∞,∞)",D,C,C, D,C,C,C,C, C,C,C
49,"If f: R -> R is a bounded function that is Lebesgue integrable, then which of the following must be true?",D,D,D, D,D,D,D,D, D,D,D
50,"In the xy-plane, the graph of x^(log y) = y^log x is",C,B,C, C,A,A,B,To, B,D,C and B
51,For which p is the norm ||x||_p expressable as an inner product?,B,B,B, B,B,B,B,B, B,B,B
52,"Let S be a compact topological space, let T be a topological space, and let f be a function from S onto T. Of the following conditions on f, which is the weakest condition sufficient to ensure the compactness of T?",C,C,C, C,C,C,C,C, C,C,C
53,What is the area of an equilateral triangle whose inscribed circle has radius 2?,C,D,C, C,D,D,C,To, C,D,C
54,For which value of n are there exactly two abelian groups of order n up to isomorphism?,C,C,A, C,A,A,A,D, A,B,A
55,"Which of the following is not always true for x, y, z ∈ R^k?",D,D,D, D,D,D,D,D, D,D,D
56,"Let V be the vector space, under the usual operations, of real polynomials that are of degree at most 3. Let W be the subspace of all polynomials p (x) in V such that p (0) = p(1) = p(-1) = 0. Then dim V + dim W is",C,C,C, C,C,C,D,C, C,D,C
57,"If V and W are 2-dimensional subspaces of R^4 ,what are the possible dimensions of the subspace V intersect W?",D,D,D, D,D,D,D,D, D,D,D
58,"The curves y = (sin x + cos x)^4 and y = (sin x - cos x)^4 intersect at x = 0. If a is the smallest positive value of x at which these curves next intersect, determine the area between these curves from x = 0 to x = a.",C,D,B, B,D,D,C,To, B,B,B
59,"If f is a linear transformation from the plane to the real numbers and if f(1, 1) = 1 and f(-1, 0) = 2, then f(3, 5) =",D,B,A, B,A,A,B,To, A,B,B and A
60,How many real roots does the polynomial 2x^5 + 8x - 7 have?,B,B,B, B,C,C,B,B, C,B,B
61,"A university’s mathematics department has 10 professors and will offer 20 different courses next semester. Each professor will be assigned to teach exactly 2 of the courses, and each course will have exactly one professor assigned to teach it. If any professor can be assigned to teach any course, how many different complete assignments of the 10 professors to the 20 courses are possible?",A,A,A, A,A,A,A,The, A,A,A
62,Which of the following are true:,C,A,A, C,D,D,C,A, A,A,A
63,In a game two players take turns tossing a fair coin; the winner is the first one to toss a head. The probability that the player who makes the first toss wins the game is,D,D,D, D,D,D,C,D, C,D,D
64,Which of the following is NOT a group?,B,B,B, B,B,B,B,B, B,B,B
65,Let x and y be positive integers such that 3x + 7y is divisible by 11. Which of the following must also be divisible by 11?,D,D,D, D,D,D,D,To, D,C,D
66,"What is the minimum value of the expression x + 4z as a function defined on R^3, subject to the constraint x^2 + y^2 + z^2 <= 2?",C,D,D, D,D,D,D,To, D,D,D
67,"Let R be a ring and let U and V be (two-sided) ideals of R. Which of the following must also be ideals of R ?
I. {u + v : u \in and v \in V}
II. {uv : u \in U and v \in V}
III. {x : x \in U and x \in V}",D,D,D, C,C,C,B,B, D,A,D
68,The region bounded by the x-axis and the function f(x) = x/(1 + x^3) is rotated about the x-axis. What is the volume of the solid generated?,A,C,A, A,A,A,A,To, B,B,A
69,Suppose today is Wednesday. What day of the week will it be 10^(10^(10)) days from now?,D,D,D, D,D,D,D,To, D,B,D
70,"Water drips out of a hole at the vertex of an upside down cone at a rate of 3 cm^3 per minute. The
cone’s height and radius are 2 cm and 1 cm, respectively. At what rate does the height of the water change
when the water level is half a centimeter below the top of the cone? The volume of a cone is V = (π/3)*r^2*h,
where r is the radius and h is the height of the cone.",D,D,C, D,D,D,C,To, D,D,D
71,"Consider the system of linear equations
w + 3x + 2y + 2z = 0
w + 4x + y = 0
3w + 5x + 10 y + 14z = 0
2w + 5x + 5y + 6z = 0
with solutions of the form (w, x, y, z), where w x, y, and z are real. Which of the following statements is FALSE?",D,D,D, D,D,D,D,D, D,D,D
72,"If c > 0 and f(x) = e^x - cx for all real numbers x, then the minimum value of f is",D,D,D, C,C,C,C,D, D,D,D
73,"Suppose A is a 3 × 3 matrix such that det(A − λI) = −λ^3 + 3λ^2 + λ − 3, where I is the 3 × 3 identity matrix. Which of the following are TRUE of A?
I. The trace of A is 3.
II. The determinate of A is −3.
III. The matrix A has eigenvalues −3 and 1.",D,D,D, D,D,D,D,To, D,D,D
74,Let y = f(x) be a solution of the differential equation x dy + (y - xe^x) dx = 0 such that y = 0 when x = 1. What is the value of f(2)?,A,D,A, A,A,A,A,To, A,B,A
75,"A fair coin is to be tossed 100 times, with each toss resulting in a head or a tail. If H is the total number of heads and T is the total number of tails, which of the following events has the greatest probability?",D,D,D, C,D,D,C,D, D,D,D
76,"Statement 1 | Suppose f : [a, b] is a function and suppose f has a local maximum. f'(x) must exist and equal 0? Statement 2 | There exist non-constant continuous maps from R to Q.",D,D,D, C,C,C,D,D, C,D,D
77,"Let I != A != -I, where I is the identity matrix and A is a real 2 x 2 matrix. If A = A^(-1), then the trace of A is",C,C,C, C,C,C,C,C, C,C,C
78,"A total of x feet of fencing is to form three sides of a level rectangular yard. What is the maximum possible area of the yard, in terms of x ?",A,B,A, B,B,B,A,To, C,B,B
79,"Statement 1 | If A is connected, the closure of A must be connected. Statement 2 | Every continuous function f : (0, 1) → (0, 1) has a fixed point.",C,C,A, B,B,B,C,A, C,D,C
80,Which of the following sets has the greatest cardinality?,C,C,B, C,C,C,B,C, C,C,C
81,"Let f(x) be a function whose graph passes through the origin. If f(2n) = n^2 + f[2(n - 1)] for every integer n, what is the value of f(8)?",C,D,B, C,D,D,B,To, C,D,D
82,How many structurally distinct Abelian groups have order 72?,A,B,B, C,C,C,B,C, B,C,C
83,"If the finite group G contains a subgroup of order seven but no element (other than the identity) is its own inverse, then the order of G could be",C,B,B, D,D,D,B,C, C,C,C
84,"Let f(x, y) = x^3 + y^3 + 3xy for all real x and y. Then there exist distinct points P and Q such that f has a",D,C,D, C,D,D,D,C, D,C,D
85,"If A is a subset of the real line R and A contains each rational number, which of the following must be true?",B,C,A, C,B,B,A,A, A,C,A
86,Let M be a 5 x 5 real matrix. Exactly four of the following five conditions on M are equivalent to each other. Which of the five conditions is equivalent to NONE of the other four?,A,A,A, A,A,A,A,A, A,A,A
87,How many positive numbers x satisfy the equation cos(97x) = x?,D,A,A, C,C,C,A,The, C,C,C
88,For which of the following rings is it possible for the product of two nonzero elements to be zero?,C,C,C, C,B,B,C,C, B,C,C
89,The map x -> axa^2 of a group G into itself is a homomorphism if and only if,C,A,C, C,C,C,C,A, A,C,C
90,"If A is the 2 by 2 matrix whose (i, j) entry is equal to i + j, and B is the 3 by 3 matrix whose (i, j) entry is equal to i + j, find the value of the sum detA + detB.",C,D,A, C,C,C,C,To, C,B,C
91,"If f : (0, 1) → (0, 1], then which of the following could be TRUE?
I. f is one-to-one and onto.
II. The image of f is compact.
III. f is continuous, one-to-one, and onto.",A,B,D, A,C,C,A,A, C,B,A
92,"If a real number x is chosen at random in the interval [0, 3] and a real number y is chosen at random in the interval [0, 4], what is the probability that x < y?",B,B,B, C,C,C,B,To, C,B,B
93,"The probability that a point (x, y) in R^2 is chosen follows a uniform random distribution within the region described by the inequality 0 < |x| + |y| < 1 . What is the probability that 2(x + y) > 1?",B,D,B, C,C,C,C,To, C,B,C
94,(1+i)^10 =,D,D,D, D,D,D,A,To, C,C,D
95,"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V?",D,D,D, C,D,D,C,D, D,D,D
96,"Let S be the subset of R^2 consisting of all points (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are irrational. With respect to the standard topology on R^2, S is",C,D,B, D,C,C,D,C, D,C,C
97,Which of the following circles has the greatest number of points of intersection with the parabola x^2 = y + 4 ?,D,C,C, C,D,D,C,To, C,D,C
98,X is a finite set with the following property: The number of subsets of X that contain exactly 3 elements is 14 more than the number of subsets of X that contain exactly 2 elements. How many subsets of X contain exactly 4 elements?,D,C,C, C,C,C,C,To, C,D,C
99,"Let T: R^2 -> R^2 be the linear transformation that maps the point (1, 2) to (2, 3) and the point (-1, 2) to (2, -3). Then T maps the point (2, 1) to",C,C,C, A,A,A,B,To, C,B,C
