;question;gpt4o;claude3;llama-3;final_answer
63;What is the main purpose of licensing public relations practitioners?;C;C; C;C
64;According to Cutlip (2006), which stage of the communications plan should involve planning of what should be said and why?;B;B; B;B
65;In which era did muckraking journalism led to the widespread introduction of public relations in business?;D;D; D;D
66;Leslie is a disgruntled employee who walks into her place of employment and shoots three people, killing two and critically injuring the other. What is Leslie's behavior an example of?;A;A; A;A
67;Psychographics refers to;A;A; A;A
68;In the public relations field, what is the most common threat to a client-firm relationship?;C;C; D;C
69;A 2008 survey showed that what percentage of the world's largest companies are reporting their corporate responsibility?;D;D; C;D
70;In recent research, the 14,000 stories that could be accessed on Google News' front page in a day pertained to how many actual news events?;A;B; C;3 different Answers
71;Who argued that if an organization did not affect a public then there was no need for a practitioner to consider that public in its communications?;D;D; D;D
72;Which form of communication is most effective in forming or changing predispositions toward an issue?;A;A; A;A
73;Which statement describes an idea from utilitarianism?;C;C; C;C
74;Which type of measurement is the most effective choice for evaluating a campaign's impact on audience attitudes?;D;D; D;D
75;There are three basic types of persuasive advertising campaigns. Which of the following is NOT one of them?;D;D; D;D
76;Approximately what proportion of nonprofit sector practitioners conduct audience research?;B;A; A;A
77;When a campaign becomes noticed and unavoidable, it has achieved the ________ stage.;B;B; B;B
78;A(n) ________ campaign is a paid form of impersonal communication, concerned with selling specific products, services, brands, images, and lifestyles to the public.;C;C; C;C
79;Which statement is true about an open systems model of public relations in an organization?;A;A; A;A
80;Which law restricts corporate communications for publicly traded companies before and during the period that new securities are being registered?;A;A; A;A
81;Which of these phrases refers specifically to a crisis, rather than an issue?;D;D; D;D
82;Watson and Noble (2005) lay out a five-step model for circular evaluation. At which step should pre-testing of strategy and tactics be carried out?;B;B; B;B
83;Which of these sites offers 'microblogging?;D;D; D;D
84;Within which area of public relations do tactics relate to promotion of the overall organisation?;A;A; A;A
85;Emma is browsing a popular website when she runs across the story of a well-known actor who was recently pulled over for speeding and driving down the wrong side of the street. It turns out he had been drinking, and the arresting police officer found drugs in the car. The actor's publicist issued a statement claiming the actor was just tired and that the drugs belonged to someone else. Emma can't help having the impression that all public relations are ________ and occur only after something negative has occurred.;B;B; C;B
86;Louis owns a chemical company that has been irresponsibly disposing of chemical waste and contaminating the community's water supply. Although he knew the company was cutting costs in its waste disposal, he publicly claims to have had no knowledge of the irresponsible practices, blames it on the company's general manager and fires him. What image restoration strategy is Louis using?;B;B; B;B
87;The ________ phase of the PR model consists of primary and secondary research about a client, identifying the target audiences for the campaign, proposing channels of communication and strategies to be used in the campaign, and constructing goals, objectives, messages, and themes.;D;D; D;D
88;The 'internal factors' portion of a firm's public relations situation analysis often includes;A;A; A;A
89;What is the major advantage of organizational publications?;B;B; D;B
90;Which outcome, from the evaluation phase of public relations planning, documents the impact a program had on its stakeholders?;B;B; B;B
91;The second stage of the advertising campaign is to establish ________, or to become known as trustworthy and believable.;A;A; A;A
92;Which type of writing employs the pyramid structure?;A;A; A;A
93;During which step of the Chase Jones model of issues management should the organization's ability to lead the issue be assessed?;C;B; B;B
94;Which of these should an objective NOT be?;A;A; A;A
95;Which statement describes an idea from Kantian ethics?;B;B; B;B
96;Which of these organizations is most effective in engaging with customers online?;A;A; C;A
97;According to Russian philosopher Mikhail Bakhtin, in order to create ________, or a well-informed public, all communication about an issue must be ________, or take the form of a dialogue.;B;B; B;B
98;Your client has asked you to develop a public relations campaign to promote a college tuition savings program using new technologies. What is the most appropriate first step?;C;C; C;C
99;"According to ""working theory,"" what is the step that occurs between an individual gaining information and changing behavior?";B;B; D;B
100;Segmentation of the population into psychographics, demographics and geodemographics is especially important in which public relations specialisation?;D;D; D;D
101;What are two examples of an evaluation of outcome? ;A;A; A;A
102;Which fashion house sued for damages to its reputation after being accused of stealing a design?;C;C; A;C
103;"What public relations pioneer is credited with being the first practitioner to insist on ""a place at the management table""?";B;D; D;D
104;What are major reasons why organizations retain outside public relations counsel? ;A;A; A;A
105;Which of these activities might secondary research involve?;D;D; A;D
106;Which of the following information about publications does the Audit Bureau of Circulation NOT provide?;C;D; C;C
107;Early email was developed in which decade?;A;A; B;A
108;According to Esman (1972), which publics help an organization to exist by lending authority or assistance?;A;A; A;A
109;Which common public relations tactic can provide a 'halo effect'?;D;D; D;D
