,question,gemini_pro,gemini_flash,gpt40613,mixtral,palm2,palmyra,gpt4o,gpt4turbo,llama,claude,final_answer
10,Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,C,C,C, C,C,C,C,C, C,C,C
11,"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",C,D,D, D,D,D,D,D, B,A,D
12,"When hot water is poured into a beaker containing cold alcohol, the temperature of the mixture will eventually reach the same temperature. Considering the scale of the size of the molecules of the fluids, which of the following is the primary reason for this phenomenon?",D,D,D, D,D,D,D,D, D,D,D
13,"A solid sphere (I = 0.06 kg·m^2) spins freely around an axis through its center at an angular speed of 20 rad/s. It is desired to bring the sphere to rest by applying a friction force of magnitude 2.0 N to the sphere’s outer surface, a distance of 0.30 m from the sphere’s center. How much time will it take the sphere to come to rest?",B,B,A, D,C,C,B,To, A,D,B
14,The radius of Mars is about half that of Earth; the mass of Mars is about one-tenth that of Earth. Which of the following is closest to the gravitational field at the surface of Mars?,B,C,B, C,C,C,B,C, C,B,C
15,"Above an infinitely large plane carrying charge density σ, the electric field points up and is equal to σ/2εo. What is the magnitude and direction of the electric field below the plane?",A,A,A, C,A,A,A,A, C,B,A
16,"A beam of electrons has speed 10^7 m/s. It is desired to use the magnetic field of the Earth, 5 × 10−5 T, to bend the electron beam into a circle. What will be the radius of this circle?",C,D,C, D,C,C,C,To, C,C,C
17,An object is placed 100 cm from a plane mirror. How far is the image from the object?,C,C,C, C,C,C,C,C, B,C,C
18,"A horse is attached to a cart that is at rest behind it. Which force, or combination of forces, explains how the horse-cart system can accelerate from rest?",A,A,A, B,C,C,A,A, A,A,A
19,"In a certain region, the electric field varies with the radius away from origin by the equation Er = –6r^2 + 4r + 3, where r is given in meters and E in N/C. The potential difference between the origin and the point (3, 4) is",A,A,A, A,A,A,A,To, C,B,A
20,"A gas undergoes an expansion-compression cycle. If, plotted on a P-V diagram, the cycle is counterclockwise and the work is 300 J in magnitude, what was the heat transfer during this cycle?",A,B,A, A,C,C,B,A, A,A,A
21,"An ideal battery of constant voltage V supplies current to a circuit that has total resistance R. If R is doubled, what will happen to the total power dissipated by the circuit?",C,C,C, C,C,C,C,C, C,C,C
22,Ultraviolet light has a wavelength of about 6 × 10^-8 m. What is the frequency of this light?,A,A,A, A,A,A,A,To, A,A,A
23,Each of the following ionized isotopes is projected with the same speed into a uniform magnetic field B such that the isotope's initial velocity is perpendicular to B. Which combination of mass and charge would result in a circular path with the largest radius?,D,D,A, D,D,D,D,To, D,D,D
24,An electric dipole consists of a pair of equal but opposite point charges of magnitude 4.0 nC separated by a distance of 2.0 cm. What is the electric field strength at the point midway between the charges?,A,A,A, C,A,A,A,A, A,A,A
25,"A person can stand outside on a cold day for hours without ill effect, but falling into a cold lake can kill a person in a matter of minutes. Which of the following is the primary reason for this phenomenon?",C,D,C, C,D,D,D,C, C,C,C
26,"A liquid flows at a constant flow rate through a pipe with circular cross-sections of varying diameters. At one point in the pipe, the diameter is 2 cm and the flow speed is 18 m/s. What is the flow speed at another point in this pipe, where the diameter is 3 cm?",C,C,C, C,A,A,B,To, C,C,C
27,"An ideal fluid flows through a pipe with radius Q and flow speed V. If the pipe splits up into three separate paths, each with radius (Q/2), what is the flow speed through each of the paths?",D,C,C, C,C,C,D,To, D,D,C
28,A very slow-moving positron interacts with a stationary electron. Which of the following statements correctly describes a possible outcome of this reaction and why it would occur?,C,C,C, C,C,C,C,C, C,C,C
29,"A box sits on an inclined plane without sliding. As the angle of the plane (measured from the horizontal) increases, the normal force",B,B,B, B,B,B,B,D, B,D,B
30,A small cart of mass m is initially at rest. It collides elastically with a large cart of mass 4m and velocity v. The large cart loses half its kinetic energy to the little cart. The little cart now has a velocity of,B,A,A, A,A,A,A,To, A,A,A
31,"A circuit consists of a battery and a light bulb. At first, the circuit is disconnected. Then, the circuit is connected, and the light bulb lights. After the light bulb has been lit for a few moments, how has the net charge residing on the circuit elements changed?",C,C,C, C,C,C,C,C, C,C,C
32,"If the force of gravity between the Moon and the Earth were to stop, which statement best describes the resulting motion of the moon?",B,B,B, B,B,B,B,B, B,B,B
33,A person stands on a scale in an elevator. He notices that the scale reading is less than his usual weight. Which of the following could possibly describe the motion of the elevator?,D,A,A, D,A,A,B,A, A,A,A
34,"A whiffle ball is tossed straight up, reaches a highest point, and falls back down. Air resistance is not negligible. Which of the following statements are true?
I. The ball’s speed is zero at the highest point.
II. The ball’s acceleration is zero at the highest point.
III. The ball takes a longer time to travel up to the highest point than to fall back down.",A,D,D, D,D,D,A,D, A,D,D
35,"If L, M, and T denote the dimensions of length, mass, and time, respectively, what are the dimensions of impulse?",C,C,C, C,C,C,C,C, C,C,C
36,"Traveling at an initial speed of 1.5 × 10^6 m/s, a proton enters a region of constant magnetic field of magnitude 1.5 T. If the proton's initial velocity vector makes an angle of 30° with the magnetic field, compute the proton's speed 4 s after entering the magnetic field.",C,C,C, C,C,C,C,C, C,C,C
37,"A man stands on a platform scale in an elevator. The elevator moves upward, speeding up. What is the action-reaction force pair to the man’s weight?",D,D,D, B,D,D,D,D, B,D,D
38,"During an isothermal expansion, a confined ideal gas does 150 J of work against its surroundings. Which of the following describes the heat transfer during this process?",A,A,A, A,A,A,A,A, A,A,A
39,An object carries a charge of –1 C. How many excess electrons does it contain?,A,D,C, A,C,C,A,A, C,A,A
40,A guitar string creates a sound wave of known frequency. Which of the following describes a correct and practical method of measuring the wavelength of the sound wave with a meterstick?,C,C,C, C,C,C,C,C, C,C,C
41,Which of the following statements about images is true?,C,C,C, C,C,C,C,C, C,C,C
42,"Pretend someone actually managed to dig a hole straight through the center of the Earth all the way to the other side. If an object were dropped down that hole, which of the following would best describe its motion? Assume ideal conditions and that the object cannot be destroyed.",C,C,C, C,C,C,C,C, C,C,C
43,"A horizontal spring-block oscillator is in motion when a second block of equal mass falls on top of the oscillating block. If the two blocks stick together, what effect will this have on the amplitude of the oscillations?",B,B,B, B,B,B,B,B, C,B,B
44,In which of the following situations involving a source of sound and a detector of the sound is it possible that there is NO perceived Doppler shift?,C,C,C, C,C,C,C,C, D,C,C
45,A solid plastic cube with uniform density (side length = 0.5 m) of mass 100 kg is placed in a vat of fluid whose density is 1200 kg/m^3. What fraction of the cube's volume floats above the surface of the fluid?,C,A,C, B,A,A,A,To, B,B,A
46,A person standing on a horizontal floor is acted upon by two forces: the downward pull of gravity and the upward normal force of the floor. These two forces,B,B,B, B,B,B,B,B, B,B,B
47,A particle of mass m and charge Q and velocity V is directed toward a uniform electric field of strength E and travels a distance d. How far does the particle travel if the original velocity is doubled and the mass is cut in half?,A,A,B, A,A,A,A,To, A,A,A
48,"An object of mass m1 experiences a linear, elastic collision with a stationary object of unknown mass. In addition to m1, what is the minimum necessary information that would allow you to determine the mass of the second object?",D,C,D, D,D,D,D,D, D,D,D
49,"In an experiment designed to study the photoelectric effect, it is observed that low-intensity visible light of wavelength 550 nm produced no photoelectrons. Which of the following best describes what would occur if the intensity of this light were increased dramatically?",D,D,D, D,D,D,D,D, D,D,D
50,"Two traveling waves of equal frequency, one of amplitude 4 cm and the other of amplitude 6 cm, superimpose in a single medium. Which of the following best describes the displacement, D, of the resultant wave?",A,A,A, A,A,A,A,A, A,A,A
51,"In Collision A, two carts collide and bounce off each other. In Collision B, a ball sticks to a rigid rod, which begins to rotate about the combined center of mass. Which of the following statements about quantities in each collision is correct?",B,B,B, C,B,B,B,B, B,B,B
52,"An object of mass 2 kg is acted upon by three external forces, each of magnitude 4 N. Which of the following could NOT be the resulting acceleration of the object?",D,D,D, D,A,A,D,D, D,D,D
53,Spring scales are used to measure the net force applied to an object; a sonic motion detector is used to measure the object’s resulting acceleration. A graph is constructed with the net force on the vertical axis and the acceleration on the horizontal axis. Which of the following quantities is directly measured using the slope of this graph?,D,D,D, D,D,D,D,D, D,D,D
54,"A wooden block experiences a frictional force, f, as it slides across a table. If a block of the same material with half the height and twice the length were to slide across the table, what would be the frictional force it experienced?",B,B,B, B,B,B,B,B, B,B,B
55,An object is placed 10 cm in front of a diverging mirror. What is the focal length of the mirror if the image appears 2 cm behind the mirror?,D,B,B, A,D,D,B,To, B,B,B
56,"A body moving in the positive x direction passes the origin at time t = 0. Between t = 0 and t = 1 second, the body has a constant speed of 24 meters per second. At t = 1 second, the body is given a constant acceleration of 6 meters per second squared in the negative x direction. The position x of the body at t = 11 seconds is",C,D,A, C,D,D,A,To, C,C,C
57,"A fluid of density ρ flows through a horizontal pipe with negligible viscosity. The flow is streamlined with constant flow rate. The diameter of the pipe at Point 1 is d and the flow speed is V. If the diameter of the pipe at Point 2 is d/3, then the pressure at Point 2 is",D,A,A, D,B,B,A,To, C,D,D and A
58,"In a spring-block oscillator, the maximum speed of the block is",A,C,A, C,C,C,A,C, C,A,C
59,The weight of a box on the Earth is 80 N. What is the weight of the box on the moon if the moon has 1/80th the mass and 1/4th the radius of the Earth?,C,B,A, C,C,C,C,To, B,D,C
60,"A textbook weighs 30 N at sea level. Earth’s radius is 6,400 km. Which of the following is the best estimate of the textbook’s weight on a mountain peak located 6,000 m above sea level?",C,C,C, C,C,C,C,C, C,C,C
61,Which of the following correctly describes the motion of a real object in free fall? Assume that the object experiences drag force proportional to speed and that it strikes the ground before reaching terminal sped.,B,B,B, B,B,B,B,B, B,B,B
62,A bi-convex lens has a radius of curvature of magnitude 20 cm. Which of the following best describes the image formed of an object of height 2 cm placed 30 cm from the lens?,A,A,A, A,A,A,A,To, A,A,A
63,"Two spheres of net charge +5e and -6e briefly come into contact. Afterward, which of the following is a possible combination of net charges for the two spheres?",C,C,D, C,C,C,D,C, C,C,C
64,"The circumference of a helium-filled balloon is measured for three different conditions: at room temperature, after being in a warm oven for 30 minutes, and after being in a freezer for 30 minutes. A student plotting the circumference cubed C^3 as a function of temperature T, should expect to find which of the following?",C,C,D, C,B,B,C,C, C,C,C
65,The charge on an oil drop is measured in the laboratory. Which of the following measurements should be rejected as highly unlikely to be correct?,C,B,B, A,B,B,B,B, A,B,B
66,"Traveling at an initial speed of 1.5 × 10^6 m/s, a proton enters a region of constant magnetic field, B, of magnitude 1.0 T. If the proton's initial velocity vector makes an angle of 30° with the direction of B, compute the proton's speed 4 s after entering the magnetic field.",C,C,C, C,C,C,C,C, C,C,C
67,Which of the following changes to a circuit will always bring about an increase in the current?,C,C,C, C,C,C,C,C, C,C,C
68,Which of the following concerning uniform circular motion is true?,C,D,D, D,D,D,D,D, D,D,D
69,"It is known that a lab cart is moving east at 25 cm/s at time t1 = 0.10 s, and then moving east at 15 cm/s at t2 = 0.20 s. Is this enough information to determine the direction of the net force acting on the cart between t1 and t2?",A,A,A, C,A,A,A,A, A,C,A
70,"An elevator is rising. In order to determine the tension in the cables pulling it, which values (for the elevator) would you need to know?",D,D,D, D,D,D,D,D, D,D,D
71,"If two non-zero vectors are added together, and the resultant vector is zero, what must be true of the two vectors?",B,B,B, B,B,B,B,B, B,B,B
72,"A proton enters a solenoid. Upon entry, the proton is moving in a straight line along the axis of the solenoid. Which of the following is a correct description of the proton’s motion within the solenoid?",C,C,C, B,C,C,C,C, C,C,C
73,A sound wave with frequency f travels through air at speed v. With what speed will a sound wave with frequency 4f travel through the air?,B,B,B, B,B,B,B,B, B,B,B
74,Under what conditions is the net electric flux through a closed surface proportional to the enclosed charge?,A,A,A, A,D,D,A,A, A,A,A
75,A beam of monochromatic light entering a glass window pane from the air will experience a change in,B,B,B, B,C,C,B,B, B,B,B
76,"Data is collected in an experiment preformed on an ideal gas. In the experiment, temperature (in K) is the independent variable and volume (in m^3) is the dependent variable. If a plot is produced where the dependent variable is on the vertical axis, which of the following is true about the slope and y-intercept of the graph?",A,B,A, A,B,B,A,A, B,A,A
77,"A toy car and a toy truck collide. If the toy truck’s mass is double the toy car’s mass, then, compared to the acceleration of the truck, the acceleration of the car during the collision will be",B,B,A, B,B,B,B,B, B,B,B
78,"A sphere, a cube, and a cylinder, all of equal mass, are released from rest from the top of a short incline. The surface of the incline is extremely slick, so much so that the objects do not rotate when released, but rather slide with negligible friction. Which reaches the base of the incline first?",D,D,D, D,D,D,D,D, D,D,D
79,A car starts from rest and uniformly accelerates to a final speed of 20.0 m/s in a time of 15.0 s. How far does the car travel during this time?,A,A,B, A,C,C,B,To, C,B,A and B and C
80,At what angle to the horizontal should an ideal projectile be launched so that its horizontal displacement (the range) is equal to its maximum vertical displacement?,D,D,C, A,D,D,C,C, C,C,C
81,A cannon is mounted on a truck that moves forward at a speed of 5 m/s. The operator wants to launch a ball from a cannon so the ball goes as far as possible before hitting the level surface. The muzzle velocity of the cannon is 50 m/s. At what angle from the horizontal should the operator point the cannon?,C,B,C, C,B,B,C,To, B,D,C and B
82,"Two charged, massive particles are isolated from all influence except those between the particles. They have charge and mass such that the net force between them is 0 N. Which of the following is NOT true?",C,C,C, D,C,C,D,C, D,C,C
83,Which one of the following statements is true concerning the motion of an ideal projectile launched at an angle of 45° to the horizontal?,D,D,D, D,D,D,D,D, D,D,D
84,"Two electrically charged balls are separated by a short distance, producing a force of 50 μN between them. Keeping the charge of each ball the same, the mass of one of the balls but not the other is doubled. What is the new electric force between the balls?",A,A,A, A,A,A,A,A, A,A,A
85,"A moving 1.5-kg cart collides with and sticks to a 0.5-kg cart which was initially at rest. Immediately after the collision, the carts each have the same ______ as each other.",A,D,A, D,A,A,A,A, A,A,A
86,A rock is dropped off a cliff and strikes the ground with an impact velocity of 30 m/s. How high was the cliff?,C,C,D, D,C,C,C,To, C,C,C
87,"A car moving with speed v reaches the foot of an incline of angle θ. The car coasts up the incline without using the engine. Neglecting friction and air resistance, which of the following is correct about the magnitude of the car’s horizontal acceleration ax and vertical acceleration ay?",A,A,A, A,B,B,A,A, D,A,A
88,Which of the following would increase the capacitance of a parallel-plate capacitor?,D,D,D, D,C,C,D,D, D,D,D
89,A man stands with his hands to his sides on a frictionless platform that is rotating. Which of the following could change the angular momentum of the man-platform system?,A,B,B, B,B,B,A,A, A,A,A and B
90,"A cylinder with a movable piston contains a gas at pressure P = 1 × 10^5 Pa, volume V = 20 cm^3, and temperature T = 273 K. The piston is moved downward in a slow steady fashion allowing heat to escape the gas and the temperature to remain constant. If the final volume of the gas is 5 cm^3, what will be the resulting pressure?",C,C,C, D,D,D,C,C, C,C,C
91,Which of the following types of electromagnetic radiation has the longest wavelength?,D,D,D, D,D,D,D,D, D,D,D
92,"An electric motor has a label on it that reads: Input: 120V AC, 1.0 Amps, 60 Hz - Efficiency - 75%. At what constant speed can the motor lift up a 6 kg mass?",A,B,B, B,B,B,B,To, C,C,B
93,"A convex lens of focal length f = 0.2 m is used to examine a small coin lying on a table. During the examination, the lens is held a distance 0.3 m above the coin and is moved slowly to a distance of 0.1 m above the coin. During this process, what happens to the image of the coin?",A,C,C, C,A,A,D,C, A,C,C
94,"The Space Shuttle orbits 300 km above Earth’s surface; Earth’s radius is 6,400 km. What is the gravitational acceleration experienced by the Space Shuttle?",D,D,D, D,D,D,B,To, D,D,D
95,"An astronaut lands on a planet whose mass and radius are each twice that of Earth. If the astronaut weighs 800 N on Earth, how much will he weigh on this planet?",A,B,D, B,C,C,B,To, D,C,B and C
96,"Two people, one of mass 100 kg and the other of mass 50 kg, stand facing each other on an ice-covered (essentially frictionless) pond. If the heavier person pushes on the lighter one with a force F, then",D,D,D, D,D,D,D,D, D,D,D
97,A 30 mF capacitor has 6 millicoulombs of charge on each plate. The energy stored in the capacitor is most nearly,C,B,B, B,B,B,C,To, B,C,B
98,Which configuration of battery and resistors will create a circuit with the greatest current?,B,B,B, B,B,B,B,B, B,B,B
99,"A rubber ball (mass = 0.08 kg) is dropped from a height of 3.2 m, and after bouncing off the floor, rises almost to its original height. If the impact time with the floor is measured to be 0.04 s, what average force did the floor exert on the ball?",C,D,D, D,C,C,D,To, D,B,D
100,"Two objects, a sphere and a block of the same mass, are released from rest at the top of an inclined plane. The sphere rolls down the inclined plane without slipping. The block slides down the plane without friction. Which object reaches the bottom of the ramp first?",D,C,D, D,D,D,D,D, C,D,D
101,Which of the following changes to a double-slit interference experiment would increase the widths of the fringes in the interference pattern that appears on the screen?,C,C,C, B,B,B,C,C, C,B,C
102,A stone is thrown vertically upward with an initial speed of 5 m/s. What is the velocity of the stone 3 seconds later?,B,D,B, B,B,B,B,To, B,B,B
103,A particle is subjected to a conservative force whose potential energy function is U(x) = (x – 2)3 – 12x where U is given in joules when x is measured in meters. Which of the following represents a position of stable equilibrium?,D,D,D, D,D,D,D,To, D,D,D
104,"An electron (mass = m, charge = -E) is rotated with speed V upwards, in the plane of the page, into a region containing a uniform magnetic field B, that is directed into the plane of the page. Describe the electron's subsequent circular motion.",A,B,A, B,B,B,A,A, B,B,B
105,"A ball of mass is attached to a string connected to the ceiling, forming a pendulum. When the string is raised to an angle of 50 degrees below the horizontal (the ceiling) and released, the ball swings back and forth with a period of 0.4 s. Which of the following changes to the pendulum would decrease the period of the pendulum?",B,B,B, B,B,B,B,B, B,B,B
106,What happens to the image formed by a concave mirror as the object is moved from far away to near the focal point?,B,B,B, A,D,D,B,B, B,B,B
107,"A disk of radius 0.1 m initially at rest undergoes an angular acceleration of 2.0 rad/s^2. If the disk only rotates, find the total distance traveled by a point on the rim of the disk in 4.0 s.",D,D,D, D,C,C,D,To, C,D,D
108,"A stone is thrown horizontally with an initial speed of 10 m/s from a bridge. Assuming that air resistance is negligible, how long would it take the stone to strike the water 80 m below the bridge?",C,C,B, C,C,C,C,C, C,C,C
109,Which of the following statements about electric and magnetic fields is FALSE:,A,C,D, A,D,D,D,D, D,D,D
110,The Space Shuttle orbits 300 km above the Earth’s surface; the Earth’s radius is 6400 km. What is the acceleration due to Earth’s gravity experienced by the Space Shuttle?,B,B,B, C,B,B,A,To, A,B,B
111,"A confined ideal gas undergoes a cyclical process in three steps—an isobaric step, followed by an isochoric step, followed by an isothermal step. Which of the following must be true?",C,D,D, D,D,D,D,D, D,D,D
112,A sphere starts from rest atop a hill with a constant angle of inclination and is allowed to roll without slipping down the hill. What force provides the torque that causes the sphere to rotate?,A,A,A, A,A,A,A,A, A,A,A
113,"A block is dragged along a table and experiences a frictional force, f, that opposes its movement. The force exerted on the block by the table is",C,C,C, C,C,C,C,C, C,C,C
114,"A table supports a wooden block placed on the tabletop. Which fundamental force of nature is responsible for this interaction, and why?",C,C,C, C,C,C,C,A, C,C,C
115,Which of the following is NOT equal to one tesla?,A,D,D, D,B,B,D,D, B,D,D
116,"A children’s toy consists of a cart whose very light wheels are attached to a rubber band. This rubber band can wind and unwind around the axle supporting the wheels. This toy is given a shove, after which the toy rolls across a flat surface and up a ramp. It is observed that the toy does not go a consistent distance up the ramp—in some trials it ends up higher than in other trials, even though the shove imparts the same kinetic energy to the cart each time. Which of the following is a reasonable explanation for this phenomenon?",A,D,A, D,A,A,D,D, D,A,A and D
117,An object is released from rest and falls a distance h during the first second of time. How far will it fall during the next second of time?,C,C,C, C,C,C,C,C, C,C,C
118,"Two ice skaters are moving on frictionless ice and are about to collide. The 50-kg skater is moving directly west at 4 m/s. The 75-kg skater is moving directly north at 2 m/s. After the collision they stick together. For this scenario, which of the following is true?",D,D,D, D,D,D,D,D, D,D,D
119,"The mass of the Earth is 5.97 × 10^24 kg. The Moon, whose center is 3.84 × 10^8 m from the Earth’s center, has mass 7.35 × 10^22 kg. Which of the following is the best estimate of the gravitational force of the Earth on the Moon?",C,B,D, D,B,B,C,To, B,C,B
120,"An object of volume 2 × 10^-3 m^3 and weight 6 N is placed into a tank of water, where it floats. What percentage of the object's volume is above the surface of the water?",C,C,B, C,C,C,C,To, C,D,C
121,"The position of an object is given by the equations x = 2.0t^3 + 4.0t + 6.25, where x is in meters and t is in seconds. What is the acceleration of the object at t = 1.50 s?",D,C,B, C,D,D,C,To, C,D,D and C
122,A man stands in an elevator as it begins to ascend. Does the normal force from the floor do work on the man?,D,A,A, D,D,D,A,D, D,D,D
123,"How long would it take a car, starting from rest and accelerating uniformly in a straight line at 5 m/s^2, to cover a distance of 200 m ?",A,D,C, B,C,C,C,To, C,B,C
124,Which of the following conditions are necessary for an object to be in static equilibrium? I. The vector sum of all torques on the object must equal zero. II. The vector sum of all forces on the object must equal zero. III. The sum of the object’s potential and kinetic energies must be zero.,D,D,D, D,D,D,D,D, D,D,D
125,"A student pushes a puck across a table, moving it from position x = 0 to position x = 0.2 m. After he lets go, the puck continues to travel across the table, coming to rest at position x = 1.2 m. When the puck is at position x = 1.0 m, which of the following is a correct assertion about the net force on the puck?",A,D,A, D,A,A,A,A, A,A,A
126,"Experimenter A uses a very small test charge qo, and experimenter B uses a test charge 2qo to measure an electric field produced by two parallel plates. A finds a field that is",B,B,B, B,B,B,B,B, B,B,B
127,"Two objects, A and B, have equal charge and equal mass. Neither body is in motion because the gravitational and electrostatic forces between them are equal. If the mass of Object A is halved, equilibrium will be maintained if",D,A,A, C,C,C,A,To, A,B,A
128,"A 2 μF capacitor is connected directly to a battery. When the capacitor is fully charged, it stores 600 μC of charge. An experimenter replaces the 2 μF capacitor with three 18 μF capacitors in series connected to the same battery. Once the capacitors are fully charged, what charge is stored on each capacitor?",A,A,C, A,A,A,A,To, A,C,A
129,A particle's kinetic energy is changing at a rate of –6.0 J/s when its speed is 3.0 m/s. What is the magnitude of the force on the particle at this moment?,B,B,B, A,B,B,B,To, C,B,B
130,"A car rounds a banked curve of uniform radius. Three forces act on the car: a friction force between the tires and the road, the normal force from the road, and the weight of the car. Which provides the centripetal force which keeps the car in circular motion?",D,D,D, B,D,D,D,D, D,D,D
131,"A stone is thrown horizontally with an initial speed of 30 m/s from a bridge. Find the stone's total speed when it enters the water 4 seconds later, assuming that air resistance is negligible.",C,C,C, C,D,D,C,C, C,C,C
132,What happens to the force of gravitational attraction between two small objects if the mass of each object is doubled and the distance between their centers is doubled?,D,D,A, D,D,D,D,The, D,D,D
133,How much current does a 60 W light bulb draw if it operates at a voltage of 120 V ?,B,B,B, C,B,B,B,B, C,B,B
134,"What happens to the pressure, P, of an ideal gas if the temperature is increased by a factor of 2 and the volume is increased by a factor of 8 ?",B,B,C, A,A,A,B,To, C,B,B
135,A beam of monochromatic light entering a glass window pane from the air will experience a change in,C,C,C, C,C,C,C,C, C,C,C
136,"A rigid, solid container of constant volume holds an ideal gas of volume v1 and temperature T1 and pressure P1. The temperature is increased in an isochoric process. Which of the following is NOT true?",D,D,D, D,D,D,D,D, D,D,D
137,A string of fixed tension and linear mass density is attached to a vibrating speaker. It is observed that a speaker frequency of 60 Hz does not produce standing waves in the string. Which explanation for this phenomenon is correct?,A,A,A, A,A,A,A,A, A,A,A
138,"A spherical charge distribution varies with the radius r by the equation ρ = ar, where ρ is the volume charge density and a is a positive constant. The distribution goes out to a radius R. Which of the following is true of the electric field strength due to this charge distribution at a distance r from the center?",D,D,B, C,D,D,D,B, D,D,D
139,An alarm whose frequency is 400 Hz is dropped out of a third-floor window. The student who drops it measures the frequency with a very sensitive oscilloscope. The measured frequency,A,C,A, B,A,A,C,A, A,A,A
140,Heat is added to a cylindrical aluminum rod of radius Q and length ℓ. The temperature difference between the two ends of the rod varies from 10°C to 20°C. What geometric factors will influence the rate heat is transferred along the rod?,C,C,C, C,C,C,C,C, C,C,C
141,"Optometrists use a linear scale of lens power, measured in diopters, to prescribe corrective lenses. Sufferers of myopia, or nearsightedness, have difficulty resolving distant objects because the lenses in their eyes are too strong. If a myopic person has a prescription of -5 diopters, what image do her corrective lenses create for distant objects?",B,B,A, A,B,B,B,B, C,B,B
142,"A nonconducting sphere is given a nonzero net electric charge, +Q, and then brought close to a neutral conducting sphere of the same radius. Which of the following will be true?",C,C,C, C,A,A,C,C, C,C,C
143,"A charged particle moves through a magnetic field and experiences a force f. New particles are sent into the same magnetic field. If the new particles have twice the charge, twice the mass, and twice the velocity, the new force would be",B,B,A, A,C,C,A,A, A,A,A
144,An electric dipole consists of a pair of equal but opposite point charges of magnitude 4.0 nC separated by a distance of 2.0 cm. What is the electric field strength at the point midway between the charges?,A,A,A, C,A,A,A,A, A,A,A
145,"Two isolated particles, A and B, are 4 m apart. Particle A has a net charge of 2Q, and B has a net charge of Q. The ratio of the magnitude of the electric force on A to that on B is",C,C,C, B,A,A,C,C, D,C,C
146,"A rock drops onto a pond with a smooth surface. A few moments later, the wave produced by the rock’s impact arrives at the shore, touching the ankles of a wading child. Which of the following observations provides evidence that the portion of the wave hitting the child’s ankles carries less energy than the wave did when it was first created by the rock’s impact?",D,D,D, D,D,D,D,D, D,D,D
147,Physics students are checking the constant acceleration equations of kinematics by measuring the velocity of a tennis ball that is dropped and falls 6 meters and then passes through a photogate. The predicted velocity is 20% above the velocity measured by the photogate. Which of the following best describes the cause of the large percent difference?,C,A,A, B,C,C,D,A, A,D,A
148,"Mercury orbits the sun in about one-fifth of an Earth year. If 1 AU is defined as the distance from the Earth to the sun, what is the approximate distance between Mercury and the sun?",C,C,C, C,C,C,C,To, B,D,C
149,"The Gravitron is a carnival ride that looks like a large cylinder. People stand inside the cylinder against the wall as it begins to spin. Eventually, it is rotating fast enough that the floor can be removed without anyone falling. Given then the coefficient of friction between a person’s clothing and the wall is μ, the tangential speed is v, and the radius of the ride is R, what is greatest mass that a person can be to safely go on this ride?",D,D,A, C,A,A,A,To, B,C,A
150,"An artificial satellite orbits Earth just above the atmosphere in a circle with constant speed. A small meteor collides with the satellite at point P in its orbit, increasing its speed by 1%, but not changing the instantaneous direction of the satellite’s velocity. Which of the following describes the satellite’s new orbit?",A,B,A, B,B,B,B,A, B,B,B
