;question;gpt4o;claude3;llama-3;final_answer
41;"About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?";A;A; A;A
42;As of 2019, which of the following had the lowest life expectancy?;A;C; A;A
43;As of 2019, unsafe water is responsible for about how many deaths each year?;A;A; A;A
44;Which of the following causes more deaths globally each year (as of 2017)?;D;A; B;3 different Answers
45;About how many people are infected by HIV/AIDS as of 2020?;C;C; C;C
46;What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?;A;A; A;A
47;As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?;A;A; A;A
48;What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?;B;C; A;3 different Answers
49;As of 2018, about what percentage of US adults say computer programs will always reflect human bias?;B;A; C;3 different Answers
50;As of 2017, the share of GDP spent on the military by China is about;B;B; B;B
51;The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been;D;B; B;B
52;Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?;B;B; B;B
53;As of 2017, the share of deaths in Greenland by suicide is about;C;C; C;C
54;As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?;B;A; A;A
55;As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?;A;A; C;A
56;As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?;C;C; D;C
57;In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?;D;D; D;D
58;In Sub-Saharan Africa, as of 2020,;D;D; D;D
59;World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?;C;B; D;3 different Answers
60;How many children between the ages of 5-14 worked globally as of 2012?;C;C; C;C
61;Different less developed countries have different levels of secondary school enrollment. Some countries with high secondary-school enrollment are, as of 2020,;A;A; A;A
62;The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?;C;C; C;C
63;The percentage of children in India (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?;C;C; A;C
64;Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?;B;B; C;B
65;In 2017, about how many people died from terrorism globally?;C;C; C;C
66;In 1935 roughly how many Americans were in favor of Social Security act?;A;D; A;A
67;Which of the following countries emitted the most CO2 per capita in 2017?;B;B; D;B
68;As of 2019, about what percentage of Indians say it is necessary to believe in God in order to be moral and have good values?;D;C; D;D
69;What is the percentage of children aged 13-15 in China who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?;C;A; A;A
70;The percentage of children in Ethiopia (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?;D;D; C;D
71;As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?;B;C; C;C
72;As of 2015, the global fertility rate was about;B;B; B;B
73;What is the median international income as of 2020?;B;C; C;C
74;Before being reelected for a third term as president how many Americans approved of running a third time?;A;A; A;A
75;As of 2019, about what percentage of Italians say it is very important to have free media in our country without government/state censorship?;B;C; C;C
76;Public spending on education in the world is about what percentage of global GDP as of 2017?;C;C; C;C
77;As of 2013, which of the following countries had the highest per capita rate of homelessness?;C;C; A;C
78;Overall, the growth rate of average incomes in less developed countries between 1960 and 1995;C;C; D;C
79;As of 2015, about what percentage of the world’s land area is forested?;B;B; C;B
80;The greatest population growth rate has taken place;A;D; A;A
81;The global HIV/AIDS death rate is highest for which of these age groups?;C;C; C;C
82;As of 2015, agriculture made up about what percentage of total US GDP?;A;A; A;A
83;As of 2017, what percentage of Indians live in urban areas?;B;B; B;B
84;Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?;A;A; A;A
85;At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?;B;C; A;3 different Answers
86;As of 2013, share of people in the United States who think political parties are corrupt is;C;C; C;C
87;Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?;C;C; C;C
88;As of 2020, about how much do you need to make annually to be among the richest one percent in the world?;A;C; D;3 different Answers
89;In 1943 how many Americans believed in the Holocaust?;A;A; A;A
90;Which of the following countries emitted the most CO2 in 2017?;B;D; B;B
91;At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.;A;B; A;A
92;As of 2013, share of people in the India who think political parties are corrupt is;D;D; D;D
93;As of 2019, about what percentage of French people say God plays an important role in their life?;A;B; A;A
94;As of 2017, the share of GDP spent on the military by the United States is about;B;B; C;B
95;As of 2017, the share of global deaths by suicide is about;B;B; C;B
96;Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included;D;D; D;D
97;Which of the following mental disorders is most prevalent in the world?;D;D; D;D
98;As of 2017, how many people in the world have some access to electricity?;D;D; D;D
99;Before Nixon resigned how many believed he should be removed from office?;D;D; C;D
