Subject,Condition,anthropic_claude-3-5-sonnet-20240620_correct,anthropic_claude-3-opus-20240229_correct,meta_llama-3.1-405b-instruct-turbo_correct,openai_gpt-4o-2024-05-13_correct,qwen_qwen2.5-72b-instruct-turbo_correct,google_gemini-1.5-pro-001_correct,openai_gpt-4-0613_correct,qwen_qwen2-72b-instruct_correct,writer_palmyra-x-004_correct,openai_gpt-4-turbo-2024-04-09_correct
Astronomy,Not OK,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.5
Business Ethics,Overall,0.85,0.86,0.81,0.85,0.85,0.8,0.79,0.82,0.76,0.82
Business Ethics,OK,0.9529411764705882,0.9529411764705882,0.9058823529411765,0.9647058823529412,0.9411764705882353,0.9058823529411765,0.9294117647058824,0.9411764705882353,0.8588235294117647,0.9058823529411765
Business Ethics,Not OK,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.2,0.3333333333333333,0.2,0.0,0.13333333333333333,0.2,0.3333333333333333
Clinical Knowledge,Overall,0.91,0.84,0.85,0.89,0.87,0.83,0.86,0.92,0.88,0.84
Clinical Knowledge,OK,0.9090909090909091,0.8383838383838383,0.8484848484848485,0.8888888888888888,0.8686868686868687,0.8383838383838383,0.8585858585858586,0.9191919191919192,0.8787878787878788,0.8383838383838383
Clinical Knowledge,Not OK,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
College Biology,Overall,0.95,0.96,0.95,0.91,0.93,0.89,0.9,0.92,0.87,0.93
College Biology,OK,0.9591836734693877,0.9693877551020408,0.9591836734693877,0.9183673469387755,0.9387755102040817,0.8979591836734694,0.9081632653061225,0.9285714285714286,0.8775510204081632,0.9387755102040817
College Biology,Not OK,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
College Chemistry,Overall,0.59,0.6,0.6,0.61,0.62,0.62,0.55,0.65,0.52,0.53
College Chemistry,OK,0.7333333333333333,0.72,0.76,0.7066666666666667,0.72,0.7466666666666667,0.68,0.76,0.6666666666666666,0.64
College Chemistry,Not OK,0.16,0.24,0.12,0.32,0.32,0.24,0.16,0.32,0.08,0.2
College Computer Science,Overall,0.84,0.81,0.78,0.77,0.77,0.79,0.76,0.74,0.78,0.72
College Computer Science,OK,0.8350515463917526,0.8041237113402062,0.7835051546391752,0.7628865979381443,0.7628865979381443,0.7835051546391752,0.7525773195876289,0.7319587628865979,0.7835051546391752,0.711340206185567
College Computer Science,Not OK,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
College Mathematics,Overall,0.58,0.55,0.66,0.47,0.64,0.79,0.54,0.52,0.55,0.55
College Mathematics,OK,0.5757575757575758,0.5454545454545454,0.6565656565656566,0.46464646464646464,0.6363636363636364,0.7878787878787878,0.5353535353535354,0.5151515151515151,0.5454545454545454,0.5454545454545454
College Mathematics,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
College Medicine,Overall,0.83,0.84,0.75,0.82,0.81,0.79,0.78,0.78,0.8,0.8
College Medicine,OK,0.8735632183908046,0.8735632183908046,0.7816091954022989,0.8620689655172413,0.8505747126436781,0.8045977011494253,0.8160919540229885,0.8275862068965517,0.8275862068965517,0.8160919540229885
College Medicine,Not OK,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.5384615384615384,0.46153846153846156,0.6153846153846154,0.6923076923076923
College Physics,Overall,0.69,0.72,0.7,0.69,0.6,0.76,0.64,0.61,0.65,0.55
College Physics,OK,0.69,0.72,0.7,0.69,0.6,0.76,0.64,0.61,0.65,0.55
Computer Security,Overall,0.89,0.85,0.81,0.85,0.86,0.83,0.86,0.85,0.82,0.83
Computer Security,OK,0.9072164948453608,0.865979381443299,0.8247422680412371,0.865979381443299,0.8762886597938144,0.845360824742268,0.8762886597938144,0.865979381443299,0.8350515463917526,0.845360824742268
Computer Security,Not OK,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Conceptual Physics,Overall,0.89,0.85,0.83,0.88,0.9,0.94,0.85,0.88,0.88,0.87
Conceptual Physics,OK,0.9130434782608695,0.8804347826086957,0.8478260869565217,0.9021739130434783,0.9239130434782609,0.9565217391304348,0.8695652173913043,0.9021739130434783,0.9130434782608695,0.8913043478260869
Conceptual Physics,Not OK,0.625,0.5,0.625,0.625,0.625,0.75,0.625,0.625,0.5,0.625
Econometrics,Overall,0.81,0.8,0.74,0.69,0.72,0.75,0.68,0.72,0.71,0.68
Econometrics,OK,0.8350515463917526,0.7938144329896907,0.7628865979381443,0.711340206185567,0.7319587628865979,0.7628865979381443,0.7010309278350515,0.7319587628865979,0.7319587628865979,0.7010309278350515
Econometrics,Not OK,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
Electrical Engineering,Overall,0.82,0.82,0.8,0.81,0.77,0.74,0.78,0.8,0.79,0.75
Electrical Engineering,OK,0.826530612244898,0.826530612244898,0.8061224489795918,0.8163265306122449,0.7755102040816326,0.7448979591836735,0.7857142857142857,0.8163265306122449,0.7959183673469388,0.7551020408163265
Electrical Engineering,Not OK,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5
Elementary Mathematics,Overall,0.91,0.89,0.79,0.73,0.87,0.96,0.8,0.81,0.85,0.66
Elementary Mathematics,OK,0.9278350515463918,0.9072164948453608,0.8041237113402062,0.7422680412371134,0.8865979381443299,0.979381443298969,0.8144329896907216,0.8144329896907216,0.865979381443299,0.6701030927835051
Elementary Mathematics,Not OK,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
Formal Logic,Overall,0.69,0.72,0.68,0.72,0.75,0.7,0.65,0.67,0.59,0.7
Formal Logic,OK,0.6896551724137931,0.7126436781609196,0.6896551724137931,0.7241379310344828,0.7471264367816092,0.7126436781609196,0.6666666666666666,0.6666666666666666,0.6091954022988506,0.7011494252873564
Formal Logic,Not OK,0.6923076923076923,0.7692307692307693,0.6153846153846154,0.6923076923076923,0.7692307692307693,0.6153846153846154,0.5384615384615384,0.6923076923076923,0.46153846153846156,0.6923076923076923
Global Facts,Overall,0.72,0.66,0.71,0.64,0.61,0.66,0.62,0.58,0.62,0.58
Global Facts,OK,0.7386363636363636,0.7045454545454546,0.7386363636363636,0.6704545454545454,0.6136363636363636,0.7159090909090909,0.6477272727272727,0.6022727272727273,0.6477272727272727,0.6022727272727273
Global Facts,Not OK,0.5833333333333334,0.3333333333333333,0.5,0.4166666666666667,0.5833333333333334,0.25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
High School Biology,Overall,0.92,0.89,0.93,0.95,0.92,0.93,0.93,0.94,0.91,0.93
High School Biology,OK,0.9368421052631579,0.9157894736842105,0.9578947368421052,0.9789473684210527,0.9473684210526315,0.9578947368421052,0.9578947368421052,0.9578947368421052,0.9368421052631579,0.9578947368421052
High School Biology,Not OK,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4
High School Chemistry,Overall,0.79,0.77,0.8,0.74,0.79,0.75,0.67,0.74,0.73,0.67
High School Chemistry,OK,0.797979797979798,0.7777777777777778,0.8080808080808081,0.7474747474747475,0.797979797979798,0.7575757575757576,0.6767676767676768,0.7474747474747475,0.7373737373737373,0.6767676767676768
High School Chemistry,Not OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High School Computer Science,Overall,0.94,0.92,0.95,0.93,0.94,0.93,0.87,0.91,0.95,0.91
High School Computer Science,OK,0.94,0.92,0.95,0.93,0.94,0.93,0.87,0.91,0.95,0.91
High School European History,Overall,0.92,0.92,0.91,0.94,0.92,0.89,0.9,0.89,0.88,0.89
High School European History,OK,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9230769230769231,0.9230769230769231,0.9120879120879121,0.9010989010989011,0.9230769230769231
High School European History,Not OK,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556
High School Geography,Overall,0.93,0.94,0.95,0.94,0.89,0.95,0.94,0.91,0.91,0.93
High School Geography,OK,0.93,0.94,0.95,0.94,0.89,0.95,0.94,0.91,0.91,0.93
High School Government and Politics,Overall,0.97,0.98,0.98,0.97,0.98,0.97,0.99,0.97,0.97,0.97
High School Government and Politics,OK,0.97,0.98,0.98,0.97,0.98,0.97,0.99,0.97,0.97,0.97
High School Macroeconomics,Overall,0.88,0.83,0.84,0.89,0.86,0.87,0.88,0.87,0.82,0.85
High School Macroeconomics,OK,0.8865979381443299,0.8350515463917526,0.845360824742268,0.8969072164948454,0.865979381443299,0.8865979381443299,0.8865979381443299,0.8865979381443299,0.8247422680412371,0.8556701030927835
High School Macroeconomics,Not OK,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
High School Mathematics,Overall,0.66,0.58,0.71,0.46,0.68,0.72,0.55,0.57,0.58,0.51
High School Mathematics,OK,0.6666666666666666,0.5757575757575758,0.7171717171717171,0.46464646464646464,0.6868686868686869,0.7272727272727273,0.5555555555555556,0.5757575757575758,0.5858585858585859,0.5151515151515151
High School Mathematics,Not OK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High School Microeconomics,Overall,0.95,0.94,0.95,0.98,0.95,0.96,0.94,0.95,0.88,0.95
High School Microeconomics,OK,0.9693877551020408,0.9591836734693877,0.9693877551020408,0.9897959183673469,0.9591836734693877,0.9693877551020408,0.9591836734693877,0.9693877551020408,0.8979591836734694,0.9693877551020408
High School Microeconomics,Not OK,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
High School Physics,Overall,0.74,0.74,0.72,0.72,0.67,0.76,0.59,0.73,0.69,0.59
High School Physics,OK,0.7525773195876289,0.7525773195876289,0.7319587628865979,0.7319587628865979,0.6804123711340206,0.7731958762886598,0.5979381443298969,0.7422680412371134,0.7010309278350515,0.5979381443298969
High School Physics,Not OK,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
High School Psychology,Overall,0.96,0.97,0.95,0.95,0.91,0.94,0.92,0.92,0.95,0.93
High School Psychology,OK,0.9791666666666666,0.9791666666666666,0.9583333333333334,0.96875,0.9166666666666666,0.9583333333333334,0.9479166666666666,0.9375,0.9583333333333334,0.9479166666666666
High School Psychology,Not OK,0.5,0.75,0.75,0.5,0.75,0.5,0.25,0.5,0.75,0.5
High School Statistics,Overall,0.88,0.79,0.85,0.8,0.81,0.85,0.82,0.78,0.73,0.77
High School Statistics,OK,0.8979591836734694,0.8061224489795918,0.8673469387755102,0.8163265306122449,0.826530612244898,0.8673469387755102,0.8367346938775511,0.7959183673469388,0.7448979591836735,0.7857142857142857
High School Statistics,Not OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High School US History,Overall,0.94,0.94,0.91,0.95,0.92,0.91,0.93,0.92,0.91,0.94
High School US History,OK,0.94,0.94,0.91,0.95,0.92,0.91,0.93,0.92,0.91,0.94
High School World History,Overall,0.98,0.96,0.95,0.96,0.95,0.98,0.97,0.97,0.93,0.98
High School World History,OK,0.98989898989899,0.9696969696969697,0.9595959595959596,0.9696969696969697,0.9595959595959596,0.98989898989899,0.9797979797979798,0.9797979797979798,0.9393939393939394,0.98989898989899
High School World History,Not OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Aging,Overall,0.84,0.82,0.84,0.84,0.79,0.79,0.8,0.79,0.79,0.83
Human Aging,OK,0.8735632183908046,0.8735632183908046,0.8850574712643678,0.8850574712643678,0.8390804597701149,0.8505747126436781,0.8390804597701149,0.8275862068965517,0.8160919540229885,0.8735632183908046
Human Aging,Not OK,0.6153846153846154,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384
Human Sexuality,Overall,0.94,0.91,0.85,0.91,0.88,0.39,0.91,0.89,0.92,0.91
Human Sexuality,OK,0.9753086419753086,0.9629629629629629,0.9135802469135802,0.9629629629629629,0.9382716049382716,0.43209876543209874,0.9382716049382716,0.9259259259259259,0.9506172839506173,0.9629629629629629
Human Sexuality,Not OK,0.7894736842105263,0.6842105263157895,0.5789473684210527,0.6842105263157895,0.631578947368421,0.21052631578947367,0.7894736842105263,0.7368421052631579,0.7894736842105263,0.6842105263157895
International Law,Overall,0.97,0.91,0.96,0.94,0.89,0.92,0.92,0.89,0.89,0.95
International Law,OK,0.968421052631579,0.9052631578947369,0.9578947368421052,0.9368421052631579,0.8842105263157894,0.9157894736842105,0.9157894736842105,0.8842105263157894,0.8842105263157894,0.9473684210526315
International Law,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jurisprudence,Overall,0.9,0.88,0.88,0.9,0.87,0.88,0.89,0.87,0.85,0.88
Jurisprudence,OK,0.898989898989899,0.8787878787878788,0.8787878787878788,0.898989898989899,0.8686868686868687,0.8787878787878788,0.8888888888888888,0.8686868686868687,0.8484848484848485,0.8787878787878788
Jurisprudence,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logical Fallacies,Overall,0.93,0.9,0.91,0.89,0.92,0.92,0.89,0.93,0.86,0.87
Logical Fallacies,OK,0.9594594594594594,0.9594594594594594,0.9594594594594594,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.9594594594594594,1.0,0.918918918918919,0.9594594594594594
Logical Fallacies,Not OK,0.8461538461538461,0.7307692307692307,0.7692307692307693,0.6153846153846154,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.7307692307692307,0.6923076923076923,0.6153846153846154
Machine Learning,Overall,0.79,0.74,0.81,0.78,0.78,0.65,0.76,0.78,0.68,0.74
Machine Learning,OK,0.8314606741573034,0.7640449438202247,0.8426966292134831,0.797752808988764,0.8089887640449438,0.6741573033707865,0.7865168539325843,0.8089887640449438,0.6966292134831461,0.7528089887640449
Machine Learning,Not OK,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364
Management,Overall,0.94,0.94,0.89,0.94,0.91,0.92,0.93,0.91,0.9,0.89
Management,OK,0.9393939393939394,0.9393939393939394,0.8888888888888888,0.9393939393939394,0.9090909090909091,0.9191919191919192,0.9292929292929293,0.9090909090909091,0.898989898989899,0.8888888888888888
Management,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Marketing,Overall,0.97,0.97,0.99,0.96,0.97,0.93,0.99,0.99,0.98,0.98
Marketing,OK,0.96875,0.96875,0.9895833333333334,0.9583333333333334,0.96875,0.9270833333333334,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9791666666666666
Marketing,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Medical Genetics,Overall,0.98,0.93,0.93,0.96,0.92,0.91,0.94,0.9,0.87,0.92
Medical Genetics,OK,0.98,0.93,0.93,0.96,0.92,0.91,0.94,0.9,0.87,0.92
Miscellaneous,Overall,0.98,0.96,0.94,0.97,0.95,0.94,0.97,0.96,0.95,0.97
Miscellaneous,OK,0.9888888888888889,0.9777777777777777,0.9666666666666667,0.9777777777777777,0.9888888888888889,0.9666666666666667,0.9888888888888889,0.9777777777777777,0.9777777777777777,0.9888888888888889
Miscellaneous,Not OK,0.9,0.8,0.7,0.9,0.6,0.7,0.8,0.8,0.7,0.8
Moral Disputes,Overall,0.88,0.9,0.9,0.91,0.85,0.82,0.9,0.86,0.89,0.9
Moral Disputes,OK,0.8958333333333334,0.90625,0.90625,0.9270833333333334,0.8541666666666666,0.8229166666666666,0.9166666666666666,0.8645833333333334,0.8958333333333334,0.90625
Moral Disputes,Not OK,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.75
Moral Scenarios,Overall,0.94,0.82,0.91,0.8,0.82,0.79,0.92,0.79,0.83,0.77
Moral Scenarios,OK,0.9381443298969072,0.8350515463917526,0.9175257731958762,0.8041237113402062,0.8247422680412371,0.7835051546391752,0.9381443298969072,0.8041237113402062,0.8247422680412371,0.7938144329896907
Moral Scenarios,Not OK,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0
Nutrition,Overall,0.89,0.89,0.92,0.87,0.86,0.87,0.89,0.89,0.84,0.89
Nutrition,OK,0.8865979381443299,0.8865979381443299,0.9175257731958762,0.865979381443299,0.8556701030927835,0.865979381443299,0.8865979381443299,0.8865979381443299,0.8350515463917526,0.8865979381443299
Nutrition,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philosophy,Overall,0.88,0.9,0.83,0.9,0.84,0.87,0.88,0.84,0.84,0.85
Philosophy,OK,0.9101123595505618,0.9213483146067416,0.8539325842696629,0.9325842696629213,0.8651685393258427,0.8876404494382022,0.9213483146067416,0.8651685393258427,0.8764044943820225,0.8764044943820225
Philosophy,Not OK,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.6363636363636364
Prehistory,Overall,0.93,0.92,0.93,0.94,0.92,0.92,0.93,0.91,0.91,0.96
Prehistory,OK,0.93,0.92,0.93,0.94,0.92,0.92,0.93,0.91,0.91,0.96
Professional Accounting,Overall,0.79,0.82,0.77,0.76,0.74,0.67,0.72,0.68,0.64,0.73
Professional Accounting,OK,0.8152173913043478,0.8152173913043478,0.7608695652173914,0.7717391304347826,0.7391304347826086,0.6630434782608695,0.7282608695652174,0.6739130434782609,0.6413043478260869,0.75
Professional Accounting,Not OK,0.5,0.875,0.875,0.625,0.75,0.75,0.625,0.75,0.625,0.5
Professional Law,Overall,0.75,0.69,0.7,0.7,0.65,0.68,0.71,0.6,0.63,0.64
Professional Law,OK,0.7682926829268293,0.7195121951219512,0.7195121951219512,0.6951219512195121,0.6707317073170732,0.6829268292682927,0.7439024390243902,0.6341463414634146,0.6097560975609756,0.6463414634146342
Professional Law,Not OK,0.6666666666666666,0.5555555555555556,0.6111111111111112,0.7222222222222222,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.7222222222222222,0.6111111111111112
Professional Medicine,Overall,0.94,0.92,0.94,0.94,0.91,0.88,0.95,0.89,0.9,0.9
Professional Medicine,OK,0.9393939393939394,0.9191919191919192,0.9393939393939394,0.9393939393939394,0.9090909090909091,0.8787878787878788,0.9494949494949495,0.8888888888888888,0.898989898989899,0.9090909090909091
Professional Medicine,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Professional Psychology,Overall,0.95,0.93,0.89,0.91,0.89,0.93,0.93,0.89,0.86,0.89
Professional Psychology,OK,0.96875,0.9479166666666666,0.9166666666666666,0.9375,0.8958333333333334,0.9479166666666666,0.9375,0.90625,0.875,0.90625
Professional Psychology,Not OK,0.5,0.5,0.25,0.25,0.75,0.5,0.75,0.5,0.5,0.5
Public Relations,Overall,0.86,0.83,0.83,0.83,0.81,0.84,0.76,0.77,0.82,0.78
Public Relations,OK,0.8901098901098901,0.8571428571428571,0.8681318681318682,0.8681318681318682,0.8571428571428571,0.8571428571428571,0.8021978021978022,0.8131868131868132,0.8461538461538461,0.8131868131868132
Public Relations,Not OK,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.4444444444444444
Security Studies,Overall,0.86,0.84,0.84,0.84,0.82,0.83,0.85,0.8,0.87,0.78
Security Studies,OK,0.8617021276595744,0.8404255319148937,0.8404255319148937,0.8404255319148937,0.8191489361702128,0.8297872340425532,0.851063829787234,0.7978723404255319,0.8723404255319149,0.776595744680851
Security Studies,Not OK,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
Sociology,Overall,0.94,0.94,0.93,0.92,0.9,0.94,0.95,0.91,0.9,0.9
Sociology,OK,0.9387755102040817,0.9387755102040817,0.9285714285714286,0.9183673469387755,0.8979591836734694,0.9387755102040817,0.9489795918367347,0.9081632653061225,0.8979591836734694,0.8979591836734694
Sociology,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
US Foreign Policy,Overall,0.96,0.96,0.94,0.96,0.96,0.93,0.95,0.94,0.92,0.96
US Foreign Policy,OK,0.9595959595959596,0.9595959595959596,0.9393939393939394,0.9595959595959596,0.9595959595959596,0.9292929292929293,0.9494949494949495,0.9393939393939394,0.9191919191919192,0.9595959595959596
US Foreign Policy,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Virology,Overall,0.55,0.54,0.56,0.56,0.56,0.51,0.56,0.54,0.54,0.57
Virology,OK,0.9069767441860465,0.8837209302325582,0.9302325581395349,0.9069767441860465,0.9069767441860465,0.8604651162790697,0.8837209302325582,0.9302325581395349,0.9302325581395349,0.9302325581395349
Virology,Not OK,0.2807017543859649,0.2807017543859649,0.2807017543859649,0.2982456140350877,0.2982456140350877,0.24561403508771928,0.3157894736842105,0.24561403508771928,0.24561403508771928,0.2982456140350877
World Religions,Overall,0.94,0.91,0.91,0.92,0.92,0.84,0.92,0.88,0.89,0.87
World Religions,OK,0.9393939393939394,0.9090909090909091,0.9090909090909091,0.9191919191919192,0.9191919191919192,0.8383838383838383,0.9191919191919192,0.8787878787878788,0.8888888888888888,0.8686868686868687
World Religions,Not OK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
